"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","50325","Clive","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,7.60664348072965,88.89,,,278000,0.18018018018018,3.00111152278622,0.0384388489208634,,0.0558814448903983,0.0110497237569061,80
"Zip","50327","Pleasant Hill","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,4.07764922989566,85.71,,3.9047,198100,0.101061141990905,4.15352260778128,0.0418273599192327,,0.0655737704918033,0.0227272727272727,63
"Zip","50401","Mason City","IA","Mason City, IA","""Mason City, IA""",,2.28476116118958,100,,2.3602,95900,0.208986415882968,-2.04290091930541,,,0.235668789808917,0.0198198198198198,80
"Zip","50469","Rockwell","IA","Mason City, IA","""Mason City, IA""",,1.51252750372631,,,,124800,0.160513643659711,0.970873786407767,,,0.215189873417722,0,84
"Zip","50501","Fort Dodge","IA","Fort Dodge, IA","""Fort Dodge, IA""",,7.03172687912556,,,,85300,0.708382526564345,19.1340782122905,,,0.171105730427764,0.0172955974842767,68.5
"Zip","50613","Cedar Falls","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,6.0827595996877,,,,157100,0.255264837268666,5.22438044206296,0.0276320814767663,,0.111211901306241,0.00978792822185971,76
"Zip","50622","Denver","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,5.98552061892256,,,,164500,-0.303030303030303,-8.91472868217054,0.0394164133738601,,0.103986135181976,0,89
"Zip","50626","Dunkerton","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,3.13932855419121,,,,146100,0,0.550584996558844,0.0305338809034907,,0.119834710743802,0.0344827586206897,83.5
"Zip","50643","Hudson","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,4.7526439065938,,,,167300,0.0598086124401914,-0.238521168753727,0.0299641362821279,,0.086,0.0232558139534884,83.5
"Zip","50651","La Porte City","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,4.60997941656611,,,,135200,0.22238695329874,2.97029702970297,0.0345488165680474,,0.134680134680135,0.0375,83.5
"Zip","50674","Sumner","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,2.30321527432749,,,,85800,-1.60550458715596,-17.816091954023,0.0434731934731936,,0.133738601823708,0.0454545454545455,89
"Zip","50677","Waverly","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,4.37362481368443,,,,148900,-0.467914438502674,-9.15192190359976,0.0382807253190061,,0.11,0.0151515151515152,89
"Zip","50701","Waterloo","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,3.66669032578607,0,,,113800,0.352733686067019,1.78890876565295,0.0348330404217927,,0.140647857889237,0.0267459138187221,90
"Zip","50702","Waterloo","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,1.95968486052949,,,19.0942,89900,0.222965440356745,3.45224395857307,0.0309121245828698,,0.161455009572431,0.0355731225296443,80
"Zip","50703","Waterloo","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,1.85463837035986,,,,63100,-0.315955766192733,0,0.0362282091917592,,0.168657429526995,0.056657223796034,87.5
